Epoch,Accuracy,Loss
1,tensor(89.0325),0.007553041832020076
2,tensor(92.5180),0.004340097312636387
3,tensor(93.5397),0.0031625867570535494
4,tensor(95.1623),0.0025815468610604652
5,tensor(95.6130),0.0021372208245268734
6,tensor(95.9435),0.0019089218985754997
7,tensor(96.4543),0.0018190960819573286
8,tensor(96.6647),0.0016559116875913998
9,tensor(96.6947),0.001653762916528369
10,tensor(96.9050),0.001461209405813581
11,tensor(96.4844),0.0016984698903308106
12,tensor(96.6947),0.0015815870669589809
13,tensor(97.0252),0.0013710071042833778
14,tensor(97.5962),0.0011701673690997548
